"DateTime","Players","Average Players","Flags"
"2022-01-05 00:00:00",20683,,
"2022-01-06 00:00:00",21701,,
"2022-01-07 00:00:00",20988,,
"2022-01-08 00:00:00",20334,,
"2022-01-09 00:00:00",18710,,
"2022-01-10 00:00:00",14470,,
"2022-01-11 00:00:00",14400,,
"2022-01-12 00:00:00",12943,,
"2022-01-13 00:00:00",14042,,
"2022-01-14 00:00:00",15143,,
"2022-01-15 00:00:00",15968,,
"2022-01-16 00:00:00",15252,,
"2022-01-17 00:00:00",12359,,
"2022-01-18 00:00:00",11910,,
"2022-01-19 00:00:00",11960,,
"2022-01-20 00:00:00",12724,,
"2022-01-21 00:00:00",12841,,
"2022-01-22 00:00:00",13648,,
"2022-01-23 00:00:00",13494,,
"2022-01-24 00:00:00",11308,,
"2022-01-25 00:00:00",10778,,
"2022-01-26 00:00:00",10897,,
"2022-01-27 00:00:00",11629,,
"2022-01-28 00:00:00",14475,,
"2022-01-29 00:00:00",18035,,
"2022-01-30 00:00:00",19843,,
"2022-01-31 00:00:00",17569,,
"2022-02-01 00:00:00",18255,,
"2022-02-02 00:00:00",19417,,
"2022-02-03 00:00:00",21335,,
"2022-02-04 00:00:00",20534,,
"2022-02-05 00:00:00",19766,,
"2022-02-06 00:00:00",18327,,
"2022-02-07 00:00:00",14609,,
"2022-02-08 00:00:00",13926,,
"2022-02-09 00:00:00",13008,,
"2022-02-10 00:00:00",13145,,
"2022-02-11 00:00:00",13637,,
"2022-02-12 00:00:00",14182,,
"2022-02-13 00:00:00",14064,,
"2022-02-14 00:00:00",10900,,
"2022-02-15 00:00:00",10863,,
"2022-02-16 00:00:00",10182,,
"2022-02-17 00:00:00",11335,,
"2022-02-18 00:00:00",12132,,
"2022-02-19 00:00:00",12833,,
"2022-02-20 00:00:00",12345,,
"2022-02-21 00:00:00",9963,,
"2022-02-22 00:00:00",9975,,
"2022-02-23 00:00:00",10124,,
"2022-02-24 00:00:00",10043,,
"2022-02-25 00:00:00",10752,,
"2022-02-26 00:00:00",11279,,
"2022-02-27 00:00:00",10612,,
"2022-02-28 00:00:00",8713,,
"2022-03-01 00:00:00",8599,,
"2022-03-02 00:00:00",8381,,
"2022-03-03 00:00:00",9864,,
"2022-03-04 00:00:00",10838,,
"2022-03-05 00:00:00",11528,,
"2022-03-06 00:00:00",10933,,
"2022-03-07 00:00:00",9289,,
"2022-03-08 00:00:00",8841,,
"2022-03-09 00:00:00",8216,,
"2022-03-10 00:00:00",9604,,
"2022-03-11 00:00:00",10550,,
"2022-03-12 00:00:00",10972,,
"2022-03-13 00:00:00",10193,,
"2022-03-14 00:00:00",7962,,
"2022-03-15 00:00:00",7720,,
"2022-03-16 00:00:00",7718,,
"2022-03-17 00:00:00",8885,,
"2022-03-18 00:00:00",9606,,
"2022-03-19 00:00:00",10016,,
"2022-03-20 00:00:00",9452,,
"2022-03-21 00:00:00",7411,,
"2022-03-22 00:00:00",7151,,
"2022-03-23 00:00:00",7255,,
"2022-03-24 00:00:00",8260,,
"2022-03-25 00:00:00",8546,,
"2022-03-26 00:00:00",9054,,
"2022-03-27 00:00:00",8600,,
"2022-03-28 00:00:00",7021,,
"2022-03-29 00:00:00",6832,,
"2022-03-30 00:00:00",6535,,
"2022-03-31 00:00:00",8276,,
"2022-04-01 00:00:00",8303,,
"2022-04-02 00:00:00",9500,,
"2022-04-03 00:00:00",9279,,
"2022-04-04 00:00:00",7423,,
"2022-04-05 00:00:00",6933,,
"2022-04-06 00:00:00",6654,,
"2022-04-07 00:00:00",7844,,
"2022-04-08 00:00:00",11325,,
"2022-04-09 00:00:00",14774,,
"2022-04-10 00:00:00",16592,,
"2022-04-11 00:00:00",15798,,
"2022-04-12 00:00:00",16715,,
"2022-04-13 00:00:00",17389,,
"2022-04-14 00:00:00",18180,,
"2022-04-15 00:00:00",20757,,
"2022-04-16 00:00:00",19699,,
"2022-04-17 00:00:00",17274,,
"2022-04-18 00:00:00",14243,,
"2022-04-19 00:00:00",12650,,
"2022-04-20 00:00:00",11562,,
"2022-04-21 00:00:00",11694,,
"2022-04-22 00:00:00",12123,,
"2022-04-23 00:00:00",11459,,
"2022-04-24 00:00:00",10918,,
"2022-04-25 00:00:00",8908,,
"2022-04-26 00:00:00",8646,,
"2022-04-27 00:00:00",8572,,
"2022-04-28 00:00:00",9962,,
"2022-04-29 00:00:00",10514,,
"2022-04-30 00:00:00",10655,,
"2022-05-01 00:00:00",10240,,
"2022-05-02 00:00:00",9086,,
"2022-05-03 00:00:00",8868,,
"2022-05-04 00:00:00",7886,,
"2022-05-05 00:00:00",8959,,
"2022-05-06 00:00:00",9000,,
"2022-05-07 00:00:00",9630,,
"2022-05-08 00:00:00",9123,,
"2022-05-09 00:00:00",7795,,
"2022-05-10 00:00:00",7715,,
"2022-05-11 00:00:00",7675,,
"2022-05-12 00:00:00",8730,,
"2022-05-13 00:00:00",8844,,
"2022-05-14 00:00:00",8820,,
"2022-05-15 00:00:00",8266,,
"2022-05-16 00:00:00",7247,,
"2022-05-17 00:00:00",6944,,
"2022-05-18 00:00:00",7060,,
"2022-05-19 00:00:00",8302,,
"2022-05-20 00:00:00",7625,,
"2022-05-21 00:00:00",7663,,
"2022-05-22 00:00:00",7205,,
"2022-05-23 00:00:00",6135,,
"2022-05-24 00:00:00",8989,,
"2022-05-25 00:00:00",12188,,
"2022-05-26 00:00:00",15960,,
"2022-05-27 00:00:00",17190,,
"2022-05-28 00:00:00",18667,,
"2022-05-29 00:00:00",18826,,
"2022-05-30 00:00:00",18377,,
"2022-05-31 00:00:00",16611,,
"2022-06-01 00:00:00",14704,,
"2022-06-02 00:00:00",15401,,
"2022-06-03 00:00:00",13927,,
"2022-06-04 00:00:00",13277,,
"2022-06-05 00:00:00",12233,,
"2022-06-06 00:00:00",10916,,
"2022-06-07 00:00:00",10729,,
"2022-06-08 00:00:00",10130,,
"2022-06-09 00:00:00",10958,,
"2022-06-10 00:00:00",11107,,
"2022-06-11 00:00:00",11159,,
"2022-06-12 00:00:00",10725,,
"2022-06-13 00:00:00",9691,,
"2022-06-14 00:00:00",9178,,
"2022-06-15 00:00:00",8851,,
"2022-06-16 00:00:00",9750,,
"2022-06-17 00:00:00",9497,,
"2022-06-18 00:00:00",9300,,
"2022-06-19 00:00:00",9035,,
"2022-06-20 00:00:00",8045,,
"2022-06-21 00:00:00",7979,,
"2022-06-22 00:00:00",7570,,
"2022-06-23 00:00:00",8963,,
"2022-06-24 00:00:00",11516,,
"2022-06-25 00:00:00",13123,,
"2022-06-26 00:00:00",14341,,
"2022-06-27 00:00:00",14263,,
"2022-06-28 00:00:00",14275,,
"2022-06-29 00:00:00",14279,,
"2022-06-30 00:00:00",15372,,
"2022-07-01 00:00:00",15512,,
"2022-07-02 00:00:00",15741,,
"2022-07-03 00:00:00",16074,,
"2022-07-04 00:00:00",14908,,
"2022-07-05 00:00:00",14716,,
"2022-07-06 00:00:00",15023,,
"2022-07-07 00:00:00",15773,,
"2022-07-08 00:00:00",15669,,
"2022-07-09 00:00:00",14438,,
"2022-07-10 00:00:00",13676,,
"2022-07-11 00:00:00",12510,,
"2022-07-12 00:00:00",11842,,
"2022-07-13 00:00:00",11174,,
"2022-07-14 00:00:00",11358,,
"2022-07-15 00:00:00",10787,,
"2022-07-16 00:00:00",10343,,
"2022-07-17 00:00:00",10219,,
"2022-07-18 00:00:00",9190,,
"2022-07-19 00:00:00",9072,,
"2022-07-20 00:00:00",8783,,
"2022-07-21 00:00:00",10154,,
"2022-07-22 00:00:00",10169,,
"2022-07-23 00:00:00",9996,,
"2022-07-24 00:00:00",9708,,
"2022-07-25 00:00:00",8924,,
"2022-07-26 00:00:00",8749,,
"2022-07-27 00:00:00",8467,,
"2022-07-28 00:00:00",9342,,
"2022-07-29 00:00:00",9338,,
"2022-07-30 00:00:00",9359,,
"2022-07-31 00:00:00",9442,,
"2022-08-01 00:00:00",8555,,
"2022-08-02 00:00:00",8100,,
"2022-08-03 00:00:00",8193,,
