DateTime,Players,Average Players,Flags,Final Price,Discount,,
2021-08-27 00:00:00,13521,,,59.99,0,,
2021-08-28 00:00:00,13250,,,59.99,0,,
2021-08-29 00:00:00,13409,,,59.99,0,,
2021-08-30 00:00:00,12330,,,59.99,0,,
2021-08-31 00:00:00,11488,,,59.99,0,,
2021-09-01 00:00:00,11099,,,59.99,0,,
2021-09-02 00:00:00,12877,,,59.99,0,,
2021-09-03 00:00:00,12778,,,59.99,0,,
2021-09-04 00:00:00,13003,,,59.99,0,,
2021-09-05 00:00:00,12247,,,59.99,0,,
2021-09-06 00:00:00,10656,,,59.99,0,,
2021-09-07 00:00:00,10189,,,59.99,0,,
2021-09-08 00:00:00,10144,,,59.99,0,,
2021-09-09 00:00:00,11715,,,59.99,0,,
2021-09-10 00:00:00,11475,,,59.99,0,,
2021-09-11 00:00:00,11780,,,59.99,0,,
2021-09-12 00:00:00,11069,,,59.99,0,,
2021-09-13 00:00:00,9549,,,59.99,0,,
2021-09-14 00:00:00,9398,,,59.99,0,,
2021-09-15 00:00:00,9641,,,59.99,0,,
2021-09-16 00:00:00,12011,,,59.99,0,,
2021-09-17 00:00:00,11872,,,59.99,0,,
2021-09-18 00:00:00,12103,,,59.99,0,,
2021-09-19 00:00:00,12108,,,59.99,0,,
2021-09-20 00:00:00,10340,,,59.99,0,,
2021-09-21 00:00:00,9637,,,59.99,0,,
2021-09-22 00:00:00,9271,,,59.99,0,,
2021-09-23 00:00:00,11251,,,29.99,50,,
2021-09-24 00:00:00,16608,,,29.99,50,,
2021-09-25 00:00:00,22183,,,29.99,50,,
2021-09-26 00:00:00,25449,,,29.99,50,,
2021-09-27 00:00:00,23887,,,59.99,0,,
2021-09-28 00:00:00,22524,,,59.99,0,,
2021-09-29 00:00:00,20058,,,59.99,0,,
2021-09-30 00:00:00,20408,,,59.99,0,,
2021-10-01 00:00:00,18586,,,59.99,0,,
2021-10-02 00:00:00,18397,,,59.99,0,,
2021-10-03 00:00:00,17045,,,59.99,0,,
2021-10-04 00:00:00,13647,,,59.99,0,,
2021-10-05 00:00:00,13185,,,59.99,0,,
